model_id,n_concepts,activation,metric,steps_mode,t_alpha,rho,divergence,divergence_abs,error,sign_agreement,n_iter,seconds,success
0,5,sigmoid,frobenius,all,1,1.0,2.377632,6.450048,8.320698e-03,0.150000,19,0.0231,1
0,5,sigmoid,frobenius,all,1,10.0,2.234607,6.062050,1.866349e-03,0.250000,56,0.0274,1
0,5,sigmoid,frobenius,all,1,100.0,1.783882,4.839321,9.610471e-04,0.400000,203,0.0978,1
0,5,sigmoid,frobenius,all,1,1000.0,0.850029,2.305963,2.199846e-04,0.600000,303,0.1479,1
0,5,sigmoid,frobenius,all,1,10000.0,0.391228,1.061324,4.667091e-05,0.850000,291,0.1868,1
0,5,sigmoid,frobenius,half,10,1.0,2.372902,6.437216,6.080380e-03,0.200000,21,0.0160,1
0,5,sigmoid,frobenius,half,10,10.0,2.237918,6.071032,7.724964e-04,0.250000,57,0.0243,1
0,5,sigmoid,frobenius,half,10,100.0,2.146027,5.821748,4.752263e-04,0.250000,102,0.0449,1
0,5,sigmoid,frobenius,half,10,1000.0,1.283426,3.481682,1.416711e-04,0.450000,239,0.1105,1
0,5,sigmoid,frobenius,half,10,10000.0,0.597787,1.621677,3.098168e-05,0.800000,290,0.1218,1
0,5,sigmoid,frobenius,last,20,1.0,2.372899,6.437208,6.079941e-03,0.200000,20,0.0155,1
0,5,sigmoid,frobenius,last,20,10.0,2.237921,6.071040,7.724387e-04,0.250000,57,0.0256,1
0,5,sigmoid,frobenius,last,20,100.0,2.145999,5.821672,4.756914e-04,0.250000,119,0.0611,1
0,5,sigmoid,frobenius,last,20,1000.0,1.283428,3.481689,1.416710e-04,0.450000,194,0.0918,1
0,5,sigmoid,frobenius,last,20,10000.0,0.597787,1.621678,3.098150e-05,0.800000,294,0.1352,1
0,5,sigmoid,nuclear,all,1,1.0,2.304048,6.250429,6.625406e-03,0.300000,22,0.0183,1
0,5,sigmoid,nuclear,all,1,10.0,2.063975,5.599159,1.632941e-03,0.400000,64,0.0367,1
0,5,sigmoid,nuclear,all,1,100.0,1.403866,3.808412,6.808563e-04,0.500000,245,0.1443,1
0,5,sigmoid,nuclear,all,1,1000.0,0.640206,1.736752,1.451957e-04,0.900000,286,0.1601,1
0,5,sigmoid,nuclear,all,1,10000.0,0.299329,0.812020,3.064789e-05,0.900000,432,0.2434,1
0,5,sigmoid,nuclear,half,10,1.0,2.302928,6.247391,5.110587e-03,0.300000,20,0.0139,1
0,5,sigmoid,nuclear,half,10,10.0,2.067298,5.608172,6.717463e-04,0.400000,44,0.0237,1
0,5,sigmoid,nuclear,half,10,100.0,1.856113,5.035269,3.880526e-04,0.350000,119,0.0696,1
0,5,sigmoid,nuclear,half,10,1000.0,1.008857,2.736831,1.035958e-04,0.600000,278,0.1554,1
0,5,sigmoid,nuclear,half,10,10000.0,0.466097,1.264430,2.210053e-05,0.800000,268,0.1514,1
0,5,sigmoid,nuclear,last,20,1.0,2.302927,6.247388,5.110393e-03,0.300000,20,0.0145,1
0,5,sigmoid,nuclear,last,20,10.0,2.067299,5.608175,6.717006e-04,0.400000,44,0.0272,1
0,5,sigmoid,nuclear,last,20,100.0,1.902292,5.160543,4.349937e-04,0.350000,277,0.1548,1
0,5,sigmoid,nuclear,last,20,1000.0,1.008859,2.736837,1.035956e-04,0.600000,293,0.1438,1
0,5,sigmoid,nuclear,last,20,10000.0,0.466096,1.264425,2.210021e-05,0.800000,285,0.1487,1
