model_id,n_concepts,activation,variant,divergence,error,sign_agreement
0,5,sigmoid,dissimilarity-only,2.372499,3.202880e-02,0.200000
0,5,sigmoid,fidelity-only,0.000209,1.682739e-11,1.000000
0,5,tanh,dissimilarity-only,2.372499,4.551181e-01,0.200000
0,5,tanh,fidelity-only,0.000006,1.240932e-12,1.000000
1,6,sigmoid,dissimilarity-only,2.198346,7.601151e-02,0.400000
1,6,sigmoid,fidelity-only,0.000211,9.985809e-12,1.000000
1,6,tanh,dissimilarity-only,2.198346,4.942369e-01,0.400000
1,6,tanh,fidelity-only,0.000046,1.805054e-11,1.000000
2,7,sigmoid,dissimilarity-only,2.300804,9.982450e-02,0.261905
2,7,sigmoid,fidelity-only,0.000174,9.143863e-12,1.000000
2,7,tanh,dissimilarity-only,2.300804,4.808866e-01,0.261905
2,7,tanh,fidelity-only,0.000050,6.568123e-11,1.000000
3,8,sigmoid,dissimilarity-only,2.541058,1.243981e-01,0.160714
3,8,sigmoid,fidelity-only,0.000581,7.909061e-11,1.000000
3,8,tanh,dissimilarity-only,2.541058,6.789769e-01,0.160714
3,8,tanh,fidelity-only,0.000046,2.717737e-11,1.000000
4,9,sigmoid,dissimilarity-only,2.531473,5.093804e-02,0.305556
4,9,sigmoid,fidelity-only,0.000380,7.832672e-11,1.000000
4,9,tanh,dissimilarity-only,2.531473,6.215542e-01,0.305556
4,9,tanh,fidelity-only,0.000040,4.834906e-11,1.000000
5,10,sigmoid,dissimilarity-only,2.475742,1.264619e-01,0.233333
5,10,sigmoid,fidelity-only,0.000298,1.915937e-11,1.000000
5,10,tanh,dissimilarity-only,2.475742,6.967130e-01,0.233333
5,10,tanh,fidelity-only,0.000099,9.789349e-11,1.000000
6,11,sigmoid,dissimilarity-only,2.483787,1.233152e-01,0.254545
6,11,sigmoid,fidelity-only,0.000556,5.338160e-11,1.000000
6,11,tanh,dissimilarity-only,2.483787,7.825497e-01,0.254545
6,11,tanh,fidelity-only,0.000056,6.176586e-11,1.000000
7,12,sigmoid,dissimilarity-only,2.354430,8.209028e-02,0.303030
7,12,sigmoid,fidelity-only,0.000243,2.195028e-11,1.000000
7,12,tanh,dissimilarity-only,2.354430,7.541114e-01,0.303030
7,12,tanh,fidelity-only,0.000075,5.523205e-11,1.000000
8,13,sigmoid,dissimilarity-only,2.433034,1.817910e-01,0.288462
8,13,sigmoid,fidelity-only,0.001472,4.180929e-10,1.000000
8,13,tanh,dissimilarity-only,2.433034,7.314126e-01,0.288462
8,13,tanh,fidelity-only,0.000049,8.679104e-11,1.000000
9,14,sigmoid,dissimilarity-only,2.429638,2.542322e-01,0.230769
9,14,sigmoid,fidelity-only,0.001873,1.589193e-10,1.000000
9,14,tanh,dissimilarity-only,2.429638,7.834371e-01,0.230769
9,14,tanh,fidelity-only,0.000054,1.068228e-10,1.000000
10,15,sigmoid,dissimilarity-only,2.455368,1.469422e-01,0.204762
10,15,sigmoid,fidelity-only,0.001748,1.623640e-10,1.000000
10,15,tanh,dissimilarity-only,2.455368,7.780526e-01,0.204762
10,15,tanh,fidelity-only,0.000030,4.858428e-11,1.000000
11,16,sigmoid,dissimilarity-only,2.447678,2.267694e-01,0.254167
11,16,sigmoid,fidelity-only,0.000394,6.621316e-11,1.000000
11,16,tanh,dissimilarity-only,2.447678,8.499782e-01,0.254167
11,16,tanh,fidelity-only,0.000269,2.669615e-09,1.000000
12,17,sigmoid,dissimilarity-only,2.371205,1.297677e-01,0.257353
12,17,sigmoid,fidelity-only,0.001620,1.572276e-10,1.000000
12,17,tanh,dissimilarity-only,2.371205,8.595292e-01,0.257353
12,17,tanh,fidelity-only,0.000078,4.051005e-10,1.000000
13,18,sigmoid,dissimilarity-only,2.422895,1.132646e-01,0.274510
13,18,sigmoid,fidelity-only,0.000503,6.194397e-11,1.000000
13,18,tanh,dissimilarity-only,2.422895,8.571406e-01,0.274510
13,18,tanh,fidelity-only,0.000356,8.327627e-09,1.000000
14,19,sigmoid,dissimilarity-only,2.467173,1.587481e-01,0.271930
14,19,sigmoid,fidelity-only,0.001789,1.637375e-10,1.000000
14,19,tanh,dissimilarity-only,2.467173,8.561411e-01,0.271930
14,19,tanh,fidelity-only,0.855529,4.281086e-02,0.733918
15,20,sigmoid,dissimilarity-only,2.439798,1.289968e-01,0.265789
15,20,sigmoid,fidelity-only,0.000651,1.002281e-10,1.000000
15,20,tanh,dissimilarity-only,2.439798,8.137173e-01,0.265789
15,20,tanh,fidelity-only,0.024102,8.053687e-05,1.000000
16,5,sigmoid,dissimilarity-only,2.468740,5.288104e-02,0.150000
16,5,sigmoid,fidelity-only,0.000068,1.873154e-12,1.000000
16,5,tanh,dissimilarity-only,2.468740,3.161857e-01,0.150000
16,5,tanh,fidelity-only,0.000015,2.278318e-12,1.000000
17,6,sigmoid,dissimilarity-only,2.258520,1.379719e-01,0.233333
17,6,sigmoid,fidelity-only,0.000428,2.862101e-11,1.000000
17,6,tanh,dissimilarity-only,2.258520,7.627511e-01,0.233333
17,6,tanh,fidelity-only,0.000084,1.146659e-11,1.000000
