model_id,n_concepts,activation,phi,rho,divergence,error,sign_agreement
0,5,sigmoid,0.2,10.0,2.408464,1.582545e-03,0.150000
0,5,sigmoid,0.2,1000.0,1.112116,1.603929e-04,0.750000
0,5,sigmoid,0.4,10.0,2.210642,2.102760e-03,0.200000
0,5,sigmoid,0.4,1000.0,0.857735,2.129961e-04,0.750000
0,5,sigmoid,0.6,10.0,2.207197,2.248362e-03,0.200000
0,5,sigmoid,0.6,1000.0,0.823396,2.219255e-04,0.700000
0,5,sigmoid,0.8,10.0,2.234607,1.866349e-03,0.250000
0,5,sigmoid,0.8,1000.0,0.850029,2.199846e-04,0.600000
0,5,sigmoid,0.9,10.0,2.239265,1.739005e-03,0.250000
0,5,sigmoid,0.9,1000.0,0.848119,2.135471e-04,0.750000
0,5,sigmoid,1.0,10.0,1.957886,1.679938e-03,0.300000
0,5,sigmoid,1.0,1000.0,0.832481,2.237978e-04,0.750000
0,5,tanh,0.2,10.0,2.012009,5.569788e-03,0.350000
0,5,tanh,0.2,1000.0,0.526558,3.438929e-04,0.800000
0,5,tanh,0.4,10.0,1.760199,7.237799e-03,0.450000
0,5,tanh,0.4,1000.0,0.418585,4.519077e-04,0.850000
0,5,tanh,0.6,10.0,1.608480,1.097220e-02,0.400000
0,5,tanh,0.6,1000.0,0.335617,5.569451e-04,0.950000
0,5,tanh,0.8,10.0,0.916852,2.291935e-02,0.800000
0,5,tanh,0.8,1000.0,0.242247,6.672024e-04,0.950000
0,5,tanh,0.9,10.0,0.812299,1.922120e-02,0.800000
0,5,tanh,0.9,1000.0,0.221921,8.233346e-04,1.000000
0,5,tanh,1.0,10.0,0.736056,1.576193e-02,0.800000
0,5,tanh,1.0,1000.0,0.199472,9.752172e-04,1.000000
1,6,sigmoid,0.2,10.0,2.188992,1.362213e-03,0.333333
1,6,sigmoid,0.2,1000.0,1.006638,1.124957e-04,0.866667
1,6,sigmoid,0.4,10.0,2.081779,2.144162e-03,0.366667
1,6,sigmoid,0.4,1000.0,0.800497,1.506959e-04,0.900000
1,6,sigmoid,0.6,10.0,2.112656,2.600295e-03,0.300000
1,6,sigmoid,0.6,1000.0,0.763500,1.387815e-04,0.866667
1,6,sigmoid,0.8,10.0,2.072538,2.372972e-03,0.300000
1,6,sigmoid,0.8,1000.0,0.810551,1.453111e-04,0.866667
1,6,sigmoid,0.9,10.0,2.050671,2.301026e-03,0.333333
1,6,sigmoid,0.9,1000.0,0.842471,1.548744e-04,0.866667
1,6,sigmoid,1.0,10.0,2.068528,2.973517e-03,0.300000
1,6,sigmoid,1.0,1000.0,0.815071,1.640653e-04,0.833333
1,6,tanh,0.2,10.0,1.744940,5.064692e-03,0.533333
1,6,tanh,0.2,1000.0,0.578751,1.322452e-04,0.933333
1,6,tanh,0.4,10.0,1.423157,6.865389e-03,0.633333
1,6,tanh,0.4,1000.0,0.507097,2.823297e-04,0.933333
1,6,tanh,0.6,10.0,1.273680,7.698037e-03,0.600000
1,6,tanh,0.6,1000.0,0.361538,3.685922e-04,0.933333
1,6,tanh,0.8,10.0,1.135199,9.874924e-03,0.700000
1,6,tanh,0.8,1000.0,0.260934,4.328147e-04,0.966667
1,6,tanh,0.9,10.0,1.053767,1.570173e-02,0.633333
1,6,tanh,0.9,1000.0,0.259316,4.626875e-04,0.966667
1,6,tanh,1.0,10.0,1.035801,1.959406e-02,0.733333
1,6,tanh,1.0,1000.0,0.190261,6.166804e-04,1.000000
2,7,sigmoid,0.2,10.0,2.216424,1.101800e-03,0.309524
2,7,sigmoid,0.2,1000.0,1.009340,9.509036e-05,0.809524
2,7,sigmoid,0.4,10.0,2.128028,2.205618e-03,0.333333
2,7,sigmoid,0.4,1000.0,0.807980,1.103953e-04,0.857143
2,7,sigmoid,0.6,10.0,2.052246,2.391695e-03,0.357143
2,7,sigmoid,0.6,1000.0,0.774039,1.112852e-04,0.880952
2,7,sigmoid,0.8,10.0,2.027449,2.006855e-03,0.380952
2,7,sigmoid,0.8,1000.0,0.799873,1.082875e-04,0.857143
2,7,sigmoid,0.9,10.0,1.990888,2.154107e-03,0.404762
2,7,sigmoid,0.9,1000.0,0.778538,1.120785e-04,0.904762
2,7,sigmoid,1.0,10.0,2.029351,2.414572e-03,0.404762
2,7,sigmoid,1.0,1000.0,0.740260,1.057227e-04,0.833333
2,7,tanh,0.2,10.0,1.737462,3.990398e-03,0.500000
2,7,tanh,0.2,1000.0,0.671821,1.623724e-04,0.952381
2,7,tanh,0.4,10.0,1.461757,4.403370e-03,0.666667
2,7,tanh,0.4,1000.0,0.472055,2.636806e-04,0.928571
2,7,tanh,0.6,10.0,1.357057,5.862218e-03,0.666667
2,7,tanh,0.6,1000.0,0.362967,3.479501e-04,0.976190
2,7,tanh,0.8,10.0,1.105901,1.363077e-02,0.785714
2,7,tanh,0.8,1000.0,0.210292,5.455059e-04,0.976190
2,7,tanh,0.9,10.0,0.856614,1.620994e-02,0.833333
2,7,tanh,0.9,1000.0,0.169399,6.801433e-04,0.952381
2,7,tanh,1.0,10.0,0.717711,1.826927e-02,0.833333
2,7,tanh,1.0,1000.0,0.138747,8.037993e-04,0.976190
3,8,sigmoid,0.2,10.0,2.387786,1.245203e-03,0.267857
3,8,sigmoid,0.2,1000.0,1.013455,1.005397e-04,0.857143
3,8,sigmoid,0.4,10.0,2.301303,2.495158e-03,0.339286
3,8,sigmoid,0.4,1000.0,0.829651,1.384268e-04,0.875000
