model_id,n_concepts,activation,t_alpha,rho,divergence,error,sign_agreement
0,5,sigmoid,1,10.0,2.234607,1.866349e-03,0.250000
0,5,sigmoid,1,1000.0,0.850029,2.199846e-04,0.600000
0,5,sigmoid,3,10.0,2.238328,7.595729e-04,0.250000
0,5,sigmoid,3,1000.0,1.284930,1.427505e-04,0.450000
0,5,sigmoid,5,10.0,2.191566,6.982907e-04,0.250000
0,5,sigmoid,5,1000.0,1.284796,1.416659e-04,0.450000
0,5,sigmoid,10,10.0,2.237918,7.724964e-04,0.250000
0,5,sigmoid,10,1000.0,1.283426,1.416711e-04,0.450000
0,5,sigmoid,15,10.0,2.237921,7.724394e-04,0.250000
0,5,sigmoid,15,1000.0,1.283426,1.416705e-04,0.450000
0,5,sigmoid,20,10.0,2.237921,7.724387e-04,0.250000
0,5,sigmoid,20,1000.0,1.283428,1.416710e-04,0.450000
0,5,tanh,1,10.0,0.916852,2.291935e-02,0.800000
0,5,tanh,1,1000.0,0.242247,6.672024e-04,0.950000
0,5,tanh,3,10.0,1.724473,9.144644e-02,0.450000
0,5,tanh,3,1000.0,0.282585,6.330609e-04,0.950000
0,5,tanh,5,10.0,1.591696,8.154074e-02,0.550000
0,5,tanh,5,1000.0,1.394400,7.474142e-02,0.750000
0,5,tanh,10,10.0,0.999610,1.057636e-02,0.800000
0,5,tanh,10,1000.0,0.286210,6.210548e-04,0.950000
0,5,tanh,15,10.0,1.716619,7.153864e-02,0.450000
0,5,tanh,15,1000.0,0.287202,6.179753e-04,0.950000
0,5,tanh,20,10.0,1.819765,6.463131e-03,0.300000
0,5,tanh,20,1000.0,1.717738,3.177873e-02,0.500000
1,6,sigmoid,1,10.0,2.072538,2.372972e-03,0.300000
1,6,sigmoid,1,1000.0,0.810551,1.453111e-04,0.866667
1,6,sigmoid,3,10.0,2.039442,1.086283e-03,0.333333
1,6,sigmoid,3,1000.0,1.101399,1.116749e-04,0.800000
1,6,sigmoid,5,10.0,2.039957,1.064974e-03,0.333333
1,6,sigmoid,5,1000.0,1.113423,1.137185e-04,0.766667
1,6,sigmoid,10,10.0,2.039879,1.061439e-03,0.333333
1,6,sigmoid,10,1000.0,1.112145,1.136302e-04,0.766667
1,6,sigmoid,15,10.0,2.039877,1.061382e-03,0.333333
1,6,sigmoid,15,1000.0,1.112169,1.136337e-04,0.766667
1,6,sigmoid,20,10.0,2.039877,1.061381e-03,0.333333
1,6,sigmoid,20,1000.0,1.112170,1.136341e-04,0.766667
1,6,tanh,1,10.0,1.135199,9.874924e-03,0.700000
1,6,tanh,1,1000.0,0.260934,4.328147e-04,0.966667
1,6,tanh,3,10.0,1.211665,7.448603e-03,0.700000
1,6,tanh,3,1000.0,0.351910,3.568372e-04,0.933333
1,6,tanh,5,10.0,1.394554,3.133931e-02,0.633333
1,6,tanh,5,1000.0,0.351008,3.626390e-04,0.866667
1,6,tanh,10,10.0,1.293480,6.349760e-03,0.700000
1,6,tanh,10,1000.0,0.371238,3.443468e-04,0.900000
1,6,tanh,15,10.0,1.408914,1.930706e-02,0.600000
1,6,tanh,15,1000.0,0.893480,2.345117e-02,0.700000
1,6,tanh,20,10.0,1.712815,8.398923e-03,0.433333
1,6,tanh,20,1000.0,1.768426,7.327033e-03,0.466667
2,7,sigmoid,1,10.0,2.027449,2.006855e-03,0.380952
2,7,sigmoid,1,1000.0,0.799873,1.082875e-04,0.857143
2,7,sigmoid,3,10.0,2.024432,8.595425e-04,0.428571
2,7,sigmoid,3,1000.0,1.118805,8.585119e-05,0.690476
2,7,sigmoid,5,10.0,2.015627,7.654781e-04,0.404762
2,7,sigmoid,5,1000.0,1.101848,7.901509e-05,0.714286
2,7,sigmoid,10,10.0,2.024578,8.458868e-04,0.428571
2,7,sigmoid,10,1000.0,1.113575,8.070586e-05,0.714286
2,7,sigmoid,15,10.0,2.024578,8.458844e-04,0.428571
2,7,sigmoid,15,1000.0,1.112287,8.048989e-05,0.714286
2,7,sigmoid,20,10.0,2.024578,8.458844e-04,0.428571
2,7,sigmoid,20,1000.0,1.112406,8.051139e-05,0.714286
2,7,tanh,1,10.0,1.105901,1.363077e-02,0.785714
2,7,tanh,1,1000.0,0.210292,5.455059e-04,0.976190
2,7,tanh,3,10.0,1.183903,1.200776e-02,0.666667
2,7,tanh,3,1000.0,0.231695,5.267036e-04,1.000000
2,7,tanh,5,10.0,1.526947,3.812297e-02,0.547619
2,7,tanh,5,1000.0,0.244308,5.032063e-04,0.976190
2,7,tanh,10,10.0,1.547117,3.711208e-02,0.619048
2,7,tanh,10,1000.0,0.624601,2.869091e-02,0.928571
2,7,tanh,15,10.0,1.674720,2.137942e-02,0.500000
2,7,tanh,15,1000.0,0.503856,8.205229e-03,0.928571
2,7,tanh,20,10.0,1.740642,6.585576e-03,0.428571
2,7,tanh,20,1000.0,1.032852,3.892631e-03,0.714286
3,8,sigmoid,1,10.0,2.278932,2.486687e-03,0.357143
3,8,sigmoid,1,1000.0,0.802321,1.244282e-04,0.910714
3,8,sigmoid,3,10.0,2.295332,1.112677e-03,0.285714
3,8,sigmoid,3,1000.0,1.075576,7.365162e-05,0.803571
3,8,sigmoid,5,10.0,2.295415,1.095360e-03,0.285714
3,8,sigmoid,5,1000.0,1.112105,7.270149e-05,0.785714
