n_concepts,rep,activation,seconds,peak_mib,n_iter,n_fev,divergence,error,params
5,0,sigmoid,0.2612,0.449,168,189,1.795300,8.688281e-04,20
5,0,tanh,0.1756,0.413,127,154,0.393167,2.801254e-03,20
5,1,sigmoid,0.3377,0.417,209,239,1.687341,1.108027e-03,20
5,1,tanh,0.1900,0.413,148,167,0.608051,2.901478e-03,20
5,2,sigmoid,0.2447,0.416,156,171,1.678524,8.975687e-04,20
5,2,tanh,0.2094,0.412,176,203,0.453077,3.288147e-03,20
10,0,sigmoid,1.0520,0.835,616,638,1.382998,5.253903e-04,90
10,0,tanh,1.1123,0.829,683,765,0.481498,2.088554e-03,90
10,1,sigmoid,1.8786,0.829,1000,1044,1.323782,5.984828e-04,90
10,1,tanh,1.6912,0.830,1000,1131,0.574687,1.895641e-03,90
10,2,sigmoid,1.8059,0.829,1000,1055,1.322742,4.957656e-04,90
10,2,tanh,1.6836,0.830,1000,1092,0.444932,1.812476e-03,90
20,0,sigmoid,2.5362,1.737,1000,1038,1.075399,2.097982e-04,380
20,0,tanh,2.2448,1.715,1000,1089,0.333527,1.374193e-03,380
20,1,sigmoid,2.4356,1.715,1000,1032,1.051372,2.775917e-04,380
20,1,tanh,2.2185,1.716,1000,1110,0.249105,4.543963e-03,380
20,2,sigmoid,2.3920,1.716,1000,1021,1.105549,2.425470e-04,380
20,2,tanh,2.3997,1.715,1000,1072,0.364224,2.392670e-02,380
30,0,sigmoid,3.4820,2.729,1000,1030,0.924952,1.905132e-04,870
30,0,tanh,3.0315,2.670,1000,1086,0.824676,1.454465e-01,870
30,1,sigmoid,3.2721,2.669,1000,1029,0.999389,2.216720e-04,870
30,1,tanh,3.1710,2.670,1000,1121,1.009540,2.032579e-01,870
30,2,sigmoid,3.2075,2.669,1000,1032,0.965653,1.617636e-04,870
30,2,tanh,3.2080,2.669,1000,1148,0.933843,1.636463e-01,870
50,0,sigmoid,4.6312,4.923,1000,1028,0.903051,1.824486e-04,2450
50,0,tanh,4.0240,4.923,1000,1044,1.417310,8.768553e-01,2450
50,1,sigmoid,4.7574,4.922,1000,1035,0.979368,8.975851e-05,2450
50,1,tanh,4.2745,4.923,1000,1043,1.326358,8.522700e-01,2450
50,2,sigmoid,4.7534,4.922,1000,1047,0.931408,1.843171e-04,2450
50,2,tanh,4.3513,4.923,1000,1051,1.369329,8.878958e-01,2450
80,0,sigmoid,7.5337,8.839,1000,1046,0.916558,1.423686e-04,6320
80,0,tanh,7.1810,8.839,1000,1065,1.431918,9.768003e-01,6320
80,1,sigmoid,7.0807,8.839,1000,1050,0.950154,1.424991e-04,6320
80,1,tanh,6.8966,8.839,1000,1041,1.384676,9.649997e-01,6320
80,2,sigmoid,7.4992,8.839,1000,1068,0.851756,1.340801e-04,6320
80,2,tanh,6.7508,8.839,1000,1054,1.389982,9.639516e-01,6320
100,0,sigmoid,9.8152,11.858,1000,1067,0.781453,2.956375e-04,9900
100,0,tanh,9.0804,11.858,1000,1040,1.430273,1.012429e+00,9900
100,1,sigmoid,9.5192,11.858,1000,1060,0.898010,2.694934e-04,9900
100,1,tanh,9.2052,11.858,1000,1052,1.406357,1.012670e+00,9900
100,2,sigmoid,9.6201,11.858,1000,1044,0.825509,2.309582e-04,9900
100,2,tanh,9.4326,11.858,1000,1068,1.404066,1.022639e+00,9900
