model_id,n_concepts,activation,method,divergence,error,sign_agreement,spec_ratio,trace_abs_diff
0,5,sigmoid,proposal,1.783882,9.610471e-04,0.400000,0.520310,0.000000e+00
0,5,sigmoid,similarity,1.018133,1.688267e-02,0.550000,0.336916,0.000000e+00
0,5,sigmoid,perturbation,1.420632,1.725282e-02,0.650000,0.646649,0.000000e+00
0,5,sigmoid,rewiring,1.494625,2.949308e-02,0.500000,0.329941,0.000000e+00
0,5,tanh,proposal,0.389581,2.872325e-03,0.850000,0.120973,0.000000e+00
0,5,tanh,similarity,1.018133,1.227580e-01,0.550000,0.336916,0.000000e+00
0,5,tanh,perturbation,0.390461,2.419800e-01,0.900000,0.131040,0.000000e+00
0,5,tanh,rewiring,1.494625,1.454819e-01,0.500000,0.329941,0.000000e+00
1,6,sigmoid,proposal,1.450794,6.888364e-04,0.600000,0.147063,0.000000e+00
1,6,sigmoid,similarity,1.123220,2.983012e-02,0.500000,0.504194,0.000000e+00
1,6,sigmoid,perturbation,1.450681,3.938528e-02,0.566667,0.403524,0.000000e+00
1,6,sigmoid,rewiring,1.511823,4.427696e-02,0.466667,0.107152,0.000000e+00
1,6,tanh,proposal,0.656783,2.999562e-03,0.833333,0.173605,0.000000e+00
1,6,tanh,similarity,1.123220,1.717499e-01,0.500000,0.504194,0.000000e+00
1,6,tanh,perturbation,0.656285,2.016592e-01,0.766667,0.268133,0.000000e+00
1,6,tanh,rewiring,1.511823,2.975203e-01,0.466667,0.107152,0.000000e+00
2,7,sigmoid,proposal,1.472792,6.305694e-04,0.547619,0.115386,0.000000e+00
2,7,sigmoid,similarity,1.123559,3.198104e-02,0.619048,0.309146,0.000000e+00
2,7,sigmoid,perturbation,1.472344,6.702395e-02,0.642857,0.315936,0.000000e+00
2,7,sigmoid,rewiring,1.330633,3.862845e-02,0.523810,0.198188,0.000000e+00
2,7,tanh,proposal,0.454117,2.915268e-03,0.952381,0.089722,0.000000e+00
2,7,tanh,similarity,1.123559,1.108153e-01,0.619048,0.309146,0.000000e+00
2,7,tanh,perturbation,0.454970,7.049946e-02,0.928571,0.160628,0.000000e+00
2,7,tanh,rewiring,1.330633,3.409356e-01,0.523810,0.198188,0.000000e+00
3,8,sigmoid,proposal,1.507780,6.542583e-04,0.607143,0.412676,0.000000e+00
3,8,sigmoid,similarity,1.236323,1.937145e-02,0.428571,0.380230,0.000000e+00
3,8,sigmoid,perturbation,1.507747,5.596394e-02,0.607143,0.873811,0.000000e+00
3,8,sigmoid,rewiring,1.333656,6.740766e-02,0.571429,0.331193,0.000000e+00
3,8,tanh,proposal,0.508591,1.937624e-03,0.875000,0.045385,0.000000e+00
3,8,tanh,similarity,1.236323,2.241281e-01,0.428571,0.380230,0.000000e+00
3,8,tanh,perturbation,0.509563,3.099000e-01,0.839286,0.419359,0.000000e+00
3,8,tanh,rewiring,1.333656,5.780774e-01,0.571429,0.331193,0.000000e+00
4,9,sigmoid,proposal,1.418707,6.961924e-04,0.652778,0.123842,0.000000e+00
4,9,sigmoid,similarity,1.357747,3.696830e-02,0.402778,0.412129,0.000000e+00
4,9,sigmoid,perturbation,1.418331,2.156652e-02,0.680556,0.271255,0.000000e+00
4,9,sigmoid,rewiring,1.430864,3.752290e-02,0.527778,0.138547,0.000000e+00
4,9,tanh,proposal,0.391162,2.753736e-03,0.902778,0.064272,0.000000e+00
4,9,tanh,similarity,1.357747,2.511812e-01,0.402778,0.412129,0.000000e+00
