model_id,n_concepts,activation,rho,t_alpha,divergence,recon_err,recon_rel,sign_agree_recon,edge_prec,edge_rec,naive_err,orig_rel,orig_sign
0,5,sigmoid,1.0,1,2.377632,6.409873,2.362823,0.150000,1.000000,1.000000,2.377632,0.000000,1.000000
0,5,sigmoid,100.0,1,1.783882,4.830552,1.780650,0.400000,1.000000,1.000000,1.783882,0.000000,1.000000
0,5,sigmoid,10000.0,1,0.391228,1.058907,0.390337,0.850000,1.000000,1.000000,0.391228,0.000000,1.000000
0,5,sigmoid,1.0,20,2.372899,6.288946,2.318246,0.200000,1.000000,1.000000,2.372899,0.000000,1.000000
0,5,sigmoid,100.0,20,2.145999,5.753099,2.120721,0.250000,1.000000,1.000000,2.145999,0.000000,1.000000
0,5,sigmoid,10000.0,20,0.597787,1.557752,0.574222,0.800000,1.000000,1.000000,0.597787,0.000000,1.000000
0,5,tanh,1.0,1,2.178263,5.906560,2.177290,0.300000,1.000000,1.000000,2.178263,0.000000,1.000000
0,5,tanh,100.0,1,0.389581,1.055625,0.389127,0.850000,1.000000,0.950000,0.389581,0.000000,1.000000
0,5,tanh,10000.0,1,0.119999,0.325708,0.120063,1.000000,1.000000,1.000000,0.119999,0.000000,1.000000
0,5,tanh,1.0,20,2.065053,1.018479,0.375434,0.800000,1.000000,1.000000,2.065053,0.000000,1.000000
0,5,tanh,100.0,20,1.769519,0.668261,0.246336,0.900000,1.000000,1.000000,1.769519,0.000000,1.000000
0,5,tanh,10000.0,20,0.396042,0.149940,0.055271,1.000000,1.000000,1.000000,0.396042,0.000000,1.000000
1,6,sigmoid,1.0,1,2.127815,7.256686,2.119957,0.333333,1.000000,1.000000,2.127815,0.000000,1.000000
1,6,sigmoid,100.0,1,1.450794,4.875641,1.424362,0.600000,1.000000,1.000000,1.450794,0.000000,1.000000
1,6,sigmoid,10000.0,1,0.438606,1.270112,0.371049,0.966667,1.000000,1.000000,0.438606,0.000000,1.000000
1,6,sigmoid,1.0,20,2.152575,7.155039,2.090262,0.300000,1.000000,1.000000,2.152575,0.000000,1.000000
