activation,rho,divergence,error,sign,sign_links,cent_corr,seconds
sigmoid,1.0,5.694011,6.795576e-04,0.054113,0.252525,-0.137010,0.9917
sigmoid,10.0,5.650644,2.802952e-04,0.056277,0.262626,-0.268980,1.0859
sigmoid,100.0,5.141286,8.615222e-05,0.075758,0.353535,-0.000453,1.3732
sigmoid,1000.0,3.766836,1.897649e-05,0.106061,0.494949,0.238169,1.6195
sigmoid,10000.0,2.328473,3.415916e-06,0.168831,0.787879,0.062724,1.6604
hyperbolic,1.0,5.261978,3.300907e-03,0.058442,0.272727,-0.236719,1.5277
hyperbolic,10.0,4.661633,1.127757e-03,0.093074,0.434343,-0.107807,1.5536
hyperbolic,100.0,3.248137,2.161921e-04,0.147186,0.686869,0.126400,1.5690
hyperbolic,1000.0,2.116169,4.950753e-05,0.164502,0.767677,0.083352,1.5922
hyperbolic,10000.0,1.088474,9.251793e-06,0.201299,0.939394,0.462278,1.5194
