activation,rho,max_abs_dev,spearman_min,spearman_mean
sigmoid,1.0,1.876038e-02,0.996612,0.996989
sigmoid,10.0,8.986022e-03,0.998871,0.998871
sigmoid,100.0,8.060569e-03,0.998871,0.999624
sigmoid,1000.0,4.434733e-03,0.998871,0.999624
sigmoid,10000.0,1.596283e-03,1.000000,1.000000
hyperbolic,1.0,5.539342e-02,0.985319,0.989836
hyperbolic,10.0,4.666956e-02,0.997741,0.998118
hyperbolic,100.0,1.292207e-02,0.992095,0.996989
hyperbolic,1000.0,9.983154e-03,0.997741,0.999247
hyperbolic,10000.0,2.351447e-03,0.998871,0.999624
